name,category,difficulty_level,calories_per_minute,is_popular,usage_count,wger_id,wger_category_id
Standing Pancake Good Morning,legs,beginner,5.0,1,0,1397,9
Nordic Curl,legs,beginner,5.0,1,0,910,9
Quadriped Arm and Leg Raise,back,beginner,5.0,1,0,957,12
No push-up burpees,chest,beginner,5.0,0,0,998,11
Dips Between Two Benches,arms,beginner,5.0,1,0,197,8
Butterfly,chest,beginner,5.0,1,0,135,11
Bronco,cardio,beginner,5.0,0,0,1579,15
Reverse lunges,legs,beginner,5.0,0,0,999,9
Reverse Bar Curl,arms,beginner,5.0,1,0,493,8
Wall Handstand,shoulders,beginner,5.0,0,0,711,13
Delt Stretch,shoulders,beginner,5.0,1,0,1536,13
Pike Push Ups,arms,beginner,5.0,1,0,454,8
Russian Twist,abs,beginner,5.0,1,0,1193,10
Reverse Plank,abs,beginner,5.0,0,0,500,10
Push Press,shoulders,beginner,5.0,1,0,478,13
Cycling cardio session,cardio,beginner,5.0,0,0,1204,15
Side Dumbbell Trunk Flexion,abs,beginner,5.0,1,0,577,10
Bench Press,chest,beginner,5.0,1,0,73,11
Roman Chair,abs,beginner,5.0,0,0,505,10
Front lever pull-up,abs,beginner,5.0,1,0,1252,10
Dumbbell Bent Over Row,shoulders,beginner,5.0,1,0,1085,13
JALON EN BANCO INCLINADO,back,beginner,5.0,1,0,1138,12
"Fly With Dumbbells, Decline Bench",chest,beginner,5.0,1,0,239,11
Dumbbell Hex Press,chest,beginner,5.0,0,0,1353,11
Decline Pushups,chest,beginner,5.0,1,0,188,11
Clean,legs,beginner,5.0,1,0,1438,9
Cossack squat,legs,beginner,5.0,1,0,1407,9
Incline Close Grip Barbell Bench Press,arms,beginner,5.0,1,0,1467,8
Bent Over Rowing Reverse,back,beginner,5.0,1,0,525,12
Kopfüber Gewichtaufheben,abs,beginner,5.0,1,0,1322,10
Thruster,legs,beginner,5.0,1,0,650,9
Hindu Squats,legs,beginner,5.0,1,0,291,9
Barbell Reverse Wrist Curl,arms,beginner,5.0,0,0,48,8
Counterclockwise neck circles,back,beginner,5.0,0,0,1016,12
Double Kettlebell Front Squat,legs,beginner,5.0,1,0,1361,9
Bent Over Dumbbell Rows,back,beginner,5.0,1,0,81,12
Clockwise neck circles,back,beginner,5.0,0,0,1015,12
Alternating Biceps Curls With Dumbbell,arms,beginner,5.0,1,0,1192,8
Dumbbell sumo deadlift,legs,beginner,5.0,0,0,1088,9
Jalón abierto,back,beginner,5.0,1,0,1124,12
"Upright Row, on Multi Press",shoulders,beginner,5.0,1,0,691,13
Prone Scapular Retraction - Arms at Side,back,beginner,5.0,1,0,468,12
knee push-ups,arms,beginner,5.0,1,0,1218,8
Double Leg Calf Raise,legs,beginner,5.0,1,0,1243,9
Wall balls,legs,beginner,5.0,1,0,1100,9
Dumbbell Incline Curl,arms,beginner,5.0,1,0,204,8
"Calf raises, right leg",calves,beginner,5.0,0,0,1021,14
Low Pulley Cable fFly,chest,beginner,5.0,1,0,1270,11
Pin Bench Press BB,chest,beginner,5.0,1,0,1436,11
Kettlebell Swing,abs,beginner,5.0,1,0,960,10
Incline Crunches,abs,beginner,5.0,1,0,171,10
Respiración profunda (de pie o sentado),chest,beginner,5.0,1,0,1591,11
Pistol Squat,legs,beginner,5.0,1,0,456,9
Handstand,shoulders,beginner,5.0,1,0,1516,13
Bodyweight Biceps Curl,arms,beginner,5.0,1,0,1608,8
Low Box Squat - Wide Stance,legs,beginner,5.0,1,0,397,9
Speed Deadlift,legs,beginner,5.0,0,0,604,9
Negative Crunches,abs,beginner,5.0,1,0,427,10
Dumbbell Shoulder Rotations,shoulders,beginner,5.0,1,0,1429,13
Hanging Leg Raises,abs,beginner,5.0,1,0,283,10
Dragon-flag,abs,beginner,5.0,1,0,1409,10
Stationary Bike,cardio,beginner,5.0,0,0,624,15
Shotgun Row,back,beginner,5.0,1,0,562,12
Towel Superman,back,beginner,5.0,1,0,1455,12
Superman,back,beginner,5.0,1,0,636,12
Hollow Hold,abs,beginner,5.0,1,0,297,10
Dumbbell close grip bench press,arms,beginner,5.0,1,0,1228,8
TRX gorilla biceps curl,arms,beginner,5.0,1,0,1261,8
Hamstring Kicks,legs,beginner,5.0,1,0,1387,9
High-Incline Smith Machine Press,chest,beginner,5.0,1,0,1508,11
Curl with kettlebell two hands,arms,beginner,5.0,1,0,974,8
Rear Delt Raise,shoulders,beginner,5.0,1,0,829,13
Plank-to-Elbow Extension,abs,beginner,5.0,1,0,1406,10
Sloper hanging,arms,beginner,5.0,0,0,804,8
Pause Bench,chest,beginner,5.0,1,0,445,11
Incline Bench Press - Dumbbell,chest,beginner,5.0,1,0,537,11
Wide Pull Up,back,beginner,5.0,1,0,1542,12
Dumbbell Deadlift,legs,beginner,5.0,0,0,1370,9
Hyper Y W Combo,back,beginner,5.0,1,0,1487,12
3D lunge warmup,cardio,beginner,5.0,0,0,1115,15
Split squats left,legs,beginner,5.0,0,0,991,9
Leg Presses (narrow),legs,beginner,5.0,1,0,373,9
Elephant Walks,legs,beginner,5.0,1,0,1391,9
Axe Hold,arms,beginner,5.0,0,0,31,8
Jumping Jack HD,cardio,beginner,5.0,1,0,1316,15
Wide-grip Pulldown,back,beginner,5.0,1,0,723,12
Close-grip Press-ups,chest,beginner,5.0,1,0,1086,11
Overhead Cable Tricep Extension,arms,beginner,5.0,1,0,1513,8
Weighted Step-ups,legs,beginner,5.0,0,0,722,9
Dynamic Planche,abs,beginner,5.0,1,0,1286,10
Toes to bar,abs,beginner,5.0,0,0,1529,10
PULL OVER POLEA ALTA,back,beginner,5.0,1,0,1137,12
Leg Extension,legs,beginner,5.0,1,0,369,9
Rotary Torso Machine,abs,beginner,5.0,1,0,1374,10
Overhead Squat,legs,beginner,5.0,0,0,441,9
Kong Curl,arms,beginner,5.0,1,0,1511,8
Barbell Hip Thrust,legs,beginner,5.0,1,0,902,9
Sit-ups,abs,beginner,5.0,1,0,591,10
YWTs,back,beginner,5.0,0,0,1083,12
Hyperextensions,back,beginner,5.0,1,0,301,12
Front neck stretch,back,beginner,5.0,0,0,1011,12
Front Plate Raise,shoulders,beginner,5.0,1,0,827,13
Front Raises with Plates,shoulders,beginner,5.0,1,0,254,13
"Leg Raises, Lying",abs,beginner,5.0,1,0,377,10
Double Kettlebell Clean and Press,arms,beginner,5.0,1,0,1360,8
DB Underhand bench press,chest,beginner,5.0,1,0,1497,11
Cardio en bicicleta estática,cardio,beginner,5.0,0,0,1618,15
Torso rotation strech,chest,beginner,5.0,1,0,1451,11
Forward arm circles,arms,beginner,5.0,0,0,994,8
Side split squats right,legs,beginner,5.0,0,0,987,9
Roll Down,back,beginner,5.0,0,0,1399,12
Dynamic side hold,abs,beginner,5.0,1,0,1099,10
Side-laying interior rotation,shoulders,beginner,5.0,1,0,1582,13
Side split squats left,legs,beginner,5.0,0,0,986,9
Front lever tuck,back,beginner,5.0,1,0,1214,12
Standing Bicep Curl,arms,beginner,5.0,1,0,621,8
Arnold Shoulder Press,shoulders,beginner,5.0,0,0,20,13
Sit & Reach,back,beginner,5.0,1,0,1394,12
TRX roll out,abs,beginner,5.0,1,0,1246,10
Jogging,cardio,beginner,5.0,0,0,319,15
Bench Press Narrow Grip,arms,beginner,5.0,1,0,76,8
scorpion kick,back,beginner,5.0,0,0,1206,12
Elliptical,cardio,beginner,5.0,1,0,962,15
Tibialis raises,calves,beginner,5.0,0,0,1200,14
Back neck stretch,back,beginner,5.0,0,0,1010,12
Push-Ups | Incline,chest,beginner,5.0,1,0,1111,11
Deadbug,abs,beginner,5.0,0,0,178,10
Bent over row to external rotation,back,beginner,5.0,0,0,1082,12
Good Morning,legs,beginner,5.0,1,0,1392,9
Chest Press,chest,beginner,5.0,1,0,129,11
Dumbbell Goblet Squat,legs,beginner,5.0,1,0,203,9
Zone 2 Running,cardio,beginner,5.0,0,0,908,15
Devil’s Press,shoulders,beginner,5.0,1,0,1556,13
Landmine press,shoulders,beginner,5.0,1,0,346,13
Single Leg Extension,legs,beginner,5.0,1,0,71,9
Underhand Lat Pull Down,back,beginner,5.0,1,0,684,12
Meditación guiada o libre,cardio,beginner,5.0,0,0,1592,15
Wall Pushup,arms,beginner,5.0,1,0,713,8
Child's pose,back,beginner,5.0,0,0,1002,12
Remada unilateral no cabo,back,beginner,5.0,1,0,1491,12
"Wrist curl, dumbbells",arms,beginner,5.0,0,0,1205,8
Pendelay Rows,back,beginner,5.0,1,0,448,12
Calf Press Using Leg Press Machine,calves,beginner,5.0,1,0,146,14
Crossbody Leg Swings,legs,beginner,5.0,1,0,1395,9
Prisoner Squat,legs,beginner,5.0,0,0,1208,9
Bag training,cardio,beginner,5.0,1,0,1092,15
Cable Shrug-In,shoulders,beginner,5.0,1,0,1472,13
Burpees,chest,beginner,5.0,0,0,132,11
Hack Squats,legs,beginner,5.0,1,0,1414,9
Seated bench press,chest,beginner,5.0,1,0,1095,11
Dumbbell Single-leg Hip Thrust,legs,beginner,5.0,1,0,1234,9
Forearm Curls (underhand grip),arms,beginner,5.0,0,0,1333,8
Fly With Cable,chest,beginner,5.0,1,0,237,11
Smith Press,shoulders,beginner,5.0,1,0,916,13
Kroc Row,back,beginner,5.0,1,0,1471,12
Calf Raise using Hack Squat Machine,legs,beginner,5.0,1,0,1466,9
Cable Cross-over,chest,beginner,5.0,1,0,323,11
Lateral Raises,shoulders,beginner,5.0,1,0,348,13
Blackroll,back,beginner,5.0,0,0,1363,12
Seated Knee Tuck,abs,beginner,5.0,1,0,1106,10
Dumbbel Bradford press,shoulders,beginner,5.0,1,0,1504,13
Fly With Dumbbells,chest,beginner,5.0,1,0,238,11
Body-Ups,arms,beginner,5.0,0,0,112,8
High Pull,shoulders,beginner,5.0,1,0,289,13
Good Mornings,legs,beginner,5.0,1,0,268,9
Side to Side Push Ups,chest,beginner,5.0,1,0,583,11
"Shoulder Press, on Multi Press",shoulders,beginner,5.0,1,0,569,13
Side Lying Hip Abduction,legs,beginner,5.0,0,0,1202,9
Braced Squat,legs,beginner,5.0,1,0,124,9
Squats,legs,beginner,5.0,1,0,615,9
"Upright Row, SZ-bar",shoulders,beginner,5.0,1,0,693,13
Archer Pull Up,back,beginner,5.0,1,0,1545,12
Crossbody Hamstring Stretch,legs,beginner,5.0,1,0,1400,9
Dumbbell Cheat Curl,arms,beginner,5.0,1,0,1482,8
Dumbbell Pullover,back,beginner,5.0,1,0,1488,12
Trap press,shoulders,beginner,5.0,1,0,1581,13
Bulgarian split squats left,legs,beginner,5.0,0,0,988,9
punches,arms,beginner,5.0,1,0,1462,8
Run,cardio,beginner,5.0,0,0,527,15
Renegade Row,back,beginner,5.0,1,0,490,12
Flutter Kicks,abs,beginner,5.0,1,0,235,10
Extensión de gluteo en  máquina,legs,beginner,5.0,1,0,1132,9
Sitting Calf Raises,calves,beginner,5.0,1,0,590,14
Bent-over Lateral Raises,shoulders,beginner,5.0,0,0,82,13
Stiff-legged Deadlifts,legs,beginner,5.0,1,0,627,9
Leg Raise,legs,beginner,5.0,1,0,376,9
Kneeling kickbacks,legs,beginner,5.0,0,0,990,9
Standing Pancake,legs,beginner,5.0,1,0,1396,9
Dumbbell Concentration Curl,arms,beginner,5.0,1,0,202,8
Bent High Pulls,shoulders,beginner,5.0,1,0,79,13
1-Arm Half-Kneeling Lat Pulldown,back,beginner,5.0,1,0,1470,12
